id,subject,treatment,fov,cell_type,roi_num,branch,spine,eventrate_pre,eventrate_post,amplitude_pre,amplitude_post,frequency_pre,frequency_post
2,Pons-2,saline,FOV1,PT,17,2,NaN,1.219756382,1.061238111,1.476767677,1.517899761,0.825963624,0.699149007
2,Pons-2,saline,FOV1,PT,32,3,NaN,0.800934423,1.218087769,1.170731707,1.216666667,0.684131487,1.001168029
2,Pons-2,saline,FOV1,PT,44,4,NaN,1.418321375,1.36158852,1.75257732,1.888888889,0.80927749,0.720840981
2,Pons-2,saline,FOV1,PT,59,5,NaN,1.568496579,1.346570999,1.601362862,1.545977011,0.979476055,0.871016186
2,Pons-2,saline,FOV1,PT,72,6,NaN,0.312030702,0.403804439,1.038888889,1.146919431,0.300350409,0.352077424
2,Pons-2,saline,FOV1,PT,88,7,NaN,0.156849658,0.302019022,1.02173913,1.13836478,0.153512431,0.265309528
2,Pons-2,saline,FOV1,PT,105,8,NaN,0.996162189,1.311530118,1.28111588,1.418772563,0.777573836,0.924411814
2,Pons-2,saline,FOV1,PT,118,9,NaN,0.478892041,0.610712498,1.559782609,1.340659341,0.307024862,0.455531453
2,Pons-2,saline,FOV1,PT,129,10,NaN,0.659102286,0.800934423,1.410714286,1.375358166,0.467211747,0.58234607
2,Pons-2,saline,FOV2,PT,1,1,NaN,1.052895044,1.388286334,1.450574713,1.424657534,0.725846821,0.974470215
2,Pons-2,saline,FOV2,PT,22,2,NaN,0.924411814,1.616886367,1.596541787,1.784530387,0.579008844,0.906057067
2,Pons-2,saline,FOV2,PT,44,3,NaN,1.067912565,1.344902386,1.295546559,1.334437086,0.824295011,1.007842483
2,Pons-2,saline,FOV2,PT,57,4,NaN,0.830969464,0.740864342,1.513677812,1.36196319,0.548973803,0.543967963
2,Pons-2,saline,FOV2,PT,67,5,NaN,1.424995828,1.393292174,1.440134907,1.398659966,0.989487736,0.996162189
2,Pons-2,saline,FOV2,PT,84,6,NaN,1.419989988,1.49007175,1.297256098,1.454397394,1.094610379,1.024528617
2,Pons-2,saline,FOV2,PT,100,7,NaN,1.017854163,1.117970966,1.778425656,1.475770925,0.57233439,0.757550476
2,Pons-2,saline,FOV2,PT,120,8,NaN,0.891039546,0.886033706,1.547826087,1.386422977,0.575671617,0.639078925
2,Pons-2,saline,FOV2,PT,145,9,NaN,0.625730018,0.764224929,1.164596273,1.195822454,0.537293509,0.639078925
2,Pons-2,saline,FOV2,PT,175,10,NaN,0.687468713,0.69080594,1.450704225,1.478571429,0.473886201,0.467211747
2,Pons-2,saline,FOV1,PT,1,1,NaN,1.391623561,1.208076089,1.373970346,1.42519685,1.012848323,0.847655598
2,Pons-2,saline,FOV1,PT,11,2,NaN,0.859335892,1.012848323,1.194895592,1.246406571,0.719172368,0.812614717
2,Pons-2,saline,FOV1,PT,21,3,NaN,0.597363591,0.528950442,1.387596899,1.331932773,0.430502253,0.397129985
2,Pons-2,saline,FOV1,PT,50,4,NaN,1.341565159,1.640246955,1.374358974,1.392351275,0.976138829,1.178041048
2,Pons-2,saline,FOV1,PT,68,5,NaN,1.828800267,1.59352578,1.548022599,1.489859594,1.181378275,1.069581178
2,Pons-2,saline,FOV1,PT,86,6,NaN,0.507258468,0.56232271,1.30472103,1.266917293,0.388786918,0.44385116
2,Pons-2,saline,FOV1,PT,110,7,NaN,1.11963958,1.430001669,1.738341969,1.654440154,0.644084766,0.864341732
2,Pons-2,saline,FOV1,PT,129,8,NaN,1.052895044,0.752544635,1.527845036,1.503333333,0.689137327,0.500584015
2,Pons-2,saline,FOV1,PT,138,9,NaN,0.490572334,0.754213249,1.245762712,1.280453258,0.393792758,0.589020524
2,Pons-2,saline,FOV1,PT,153,10,NaN,0.775905223,0.627398632,1.396396396,1.249169435,0.555648256,0.502252628
2,Pons-2,saline,FOV2,PT,1,1,NaN,1.104622059,1.416652762,1.282945736,1.259643917,0.861004505,1.12464542
2,Pons-2,saline,FOV2,PT,16,2,NaN,1.658601702,1.11963958,1.285899094,1.200357782,1.289838145,0.932754881
2,Pons-2,saline,FOV2,PT,26,3,NaN,1.685299516,1.343233773,1.5855573,1.419753086,1.062906725,0.946103788
