mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_1_existing,day_1_new,day_3_existing,day_3_new1,day_3_new3,day_3_allnew
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,0.889542857,1.0296,0.894092308,0.8496,NA,0.8496
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,0.865527273,0.7068,0.826909091,NA,0.7392,0.7392
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,0.9264,0.7848,0.9454,0.9216,0.6864,0.804
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,0.9192,0.9528,0.93672,NA,NA,NA
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,0.8568,0.6024,0.945163636,0.6408,0.6344,0.636
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,0.866133333,0.8784,0.84576,NA,0.6996,0.6996
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,0.851866667,0.7392,0.9222,0.8784,0.85488,0.8588
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,0.951388235,0.796,0.98272,0.8376,0.717,0.74112
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,0.91272,0.5664,0.943452632,0.6144,0.6648,0.6396
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,0.8828,NA,0.823854545,NA,0.5784,0.5784
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,0.8608,0.6444,0.8994,0.834,NA,0.834
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,0.87648,0.8136,0.96464,0.8952,NA,0.8952
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,0.9297,0.8448,0.95504,0.9744,0.8952,0.915
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,0.89064,0.7344,0.92256,NA,0.852,0.852
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,0.83928,0.9816,0.80112,NA,1.0344,1.0344
