mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
C57 3165,f,psilocybin,c57,cell2,cell2_1,cell2_1,530,FOV10-1,0.755959481,0.669187272,0.670850538,0.761409403
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,0.526441133,0.533979669,0.512818885,0.568040982
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0.505090754,0.438603344,0.419455346,0.472316161
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,0.480639058,0.521053153,0.531310104,0.499180776
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,0.395636916,0.356834344,0.41372381,0.47182845
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,0.500803999,0.459259698,0.500597588,0.544445836
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,0.402718856,0.317746794,0.348607921,0.396288559
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,0.489419032,0.431044237,0.4615162,0.458350499
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,0.466426612,0.434185561,0.496454077,0.426256369
C57 811,f,saline,c57,NA,NA,NA,NA,FOV13-1,0.54827893,0.605447819,0.558361061,0.585196289
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,0.428845032,0.47609384,0.415452334,0.382052693
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,0.50786534,0.535133602,0.537105645,0.425207516
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV3-1,0.493418394,0.456321189,0.457831047,0.478031222
C57 1-1,f,saline,c57,cell6,cell6_1,NA,770,FOV6-1,0.569858131,0.662949729,0.515546033,0.554255295
C57 1-1,f,saline,c57,cell4,cell4_1,cell4_1,800+,FOV7-1,0.670722301,0.66799821,0.686648127,0.512738475
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,0.451759109,0.431200745,0.441240592,0.450844432
C57 1-1,f,saline,c57,cell4,cell4_2,cell4_2,800+,FOV11-2,0.556825168,0.457208695,0.370029292,0.322082975
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,0.510402179,0.490417247,0.457984502,0.415200568
C57 1-1,f,saline,c57,cell3,cell3_1,NA,730,FOV14-1,0.328255421,0.395696406,0.306920097,0.310712433
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,0.421464882,0.447204334,0.421596098,0.483970884
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,0.416490278,0.300184103,0.387253175,0.424697752
C57 1-1,f,saline,c57,cell7,cell7_2,cell7_2,690,FOV25-1,0.526644943,0.424335289,0.466328931,0.475388695
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,0.724254561,0.719988084,0.784340865,0.769144241
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,0.424328147,0.473861784,0.466931884,0.383119744
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,0.317183495,0.351810328,0.366127265,0.339383408
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,0.67598436,0.685232665,0.7542502,0.690099374
C57 1-1,f,saline,c57,cell15,cell15_1,NA,770,FOV40-1,0.84384546,0.713281007,0.652170774,0.655489325
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,0.525394966,0.509469337,0.449592781,0.476654363
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,0.438696417,0.473691612,0.481508421,0.491482003
