mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,0,-0.024566001,0.004440947,0.076355029
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,0,0.028301887,0.341980873,0.438706484
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV21-1,0,0.207143962,0.286353145,0.217371123
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,0,-0.003638052,0.170270475,0.351289742
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,0,0.00811619,0.175921963,0.363828995
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,0,0.102420485,0.1808861,0.5147863
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,0,-0.081067961,0.169374028,0.063682338
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,0,-0.035430924,-0.029012781,0.018171353
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,0,0.062232551,0.294564582,0.748158449
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0,-0.113364099,0.0241154,0.023695337
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,0,0.135725885,0.258818154,0.472971582
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,0,0.013817676,0.077719813,-0.005773943
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,0,0.06377687,0.243713053,0.010107258
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,0,0.01878126,0.081130849,0.05407118
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,0,-0.089114326,0.18604691,0.459200438
C57 3165,f,psilocybin,c57,cell2,cell2_1,cell2_1,530,FOV10-1,0,-0.114784206,-0.112584001,0.007209278
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,0,0.014319809,-0.025876108,0.079020894
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,0,-0.13163458,-0.169544596,-0.064888523
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,0,0.084084084,0.105424322,0.03857722
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,0,-0.098076217,0.04571589,0.192579436
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,0,-0.08295521,-0.000412159,0.087143547
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,0,-0.210995985,-0.134364045,-0.015967209
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,0,-0.119273652,-0.057012152,-0.063480436
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,0,-0.069123525,0.064377682,-0.086123394
C57 811,f,saline,c57,NA,NA,NA,NA,FOV13-1,0,0.104269719,0.018388691,0.067333173
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,0,0.110176883,-0.03122969,-0.109112466
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,0,0.053691913,0.057574917,-0.162755395
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV3-1,0,-0.075184074,-0.072124078,-0.031184838
C57 1-1,f,saline,c57,cell6,cell6_1,NA,770,FOV6-1,0,0.163359251,-0.095308105,-0.027380212
C57 1-1,f,saline,c57,cell4,cell4_1,cell4_1,800+,FOV7-1,0,-0.004061429,0.023744292,-0.235542826
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,0,-0.045507359,-0.023283464,-0.002024701
C57 1-1,f,saline,c57,cell4,cell4_2,cell4_2,800+,FOV11-2,0,-0.178900809,-0.335465935,-0.421572527
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,0,-0.039155263,-0.102698772,-0.186522735
C57 1-1,f,saline,c57,cell3,cell3_1,NA,730,FOV14-1,0,0.205452768,-0.064996106,-0.053443103
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,0,0.061071403,0.000311333,0.148306549
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,0,-0.279253037,-0.070198766,0.019706279
C57 1-1,f,saline,c57,cell7,cell7_2,cell7_2,690,FOV25-1,0,-0.194266848,-0.114528796,-0.097326003
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,0,-0.005890853,0.082962963,0.061980527
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,0,0.116734271,0.100402807,-0.09711447
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,0,0.109169718,0.154307431,0.069990757
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,0,0.013681241,0.115780548,0.020880682
C57 1-1,f,saline,c57,cell15,cell15_1,NA,770,FOV40-1,0,-0.15472555,-0.2271443,-0.223211647
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,0,-0.030311727,-0.144276571,-0.092769451
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,0,0.079770871,0.097589137,0.120323723
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,0,-0.101397465,0.055613133,0.068661611
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,0,-0.151733883,-0.148960356,-0.033898305
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,0,0.003960886,0.064519516,-0.007100012
C57 844,f,saline,c57,NA,NA,NA,NA,FOV12-1,0,0.078582125,-0.044236133,-0.130679216
C57 3163,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,0,0.270665303,0.295461383,0.150552071
C57 3163,f,saline,c57,cell2,cell2_1,cell2_1,NA,FOV7-1,0,0.047146119,0.006363138,-0.054871208
C57 3163,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,0,-0.203549439,0.019944341,0.127692308
C57 3163,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,0,0.283569104,0.0203243,0.212841306
C57 3163,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,0,0.028185053,0.008235623,0.119168255
